availability,condition,image,item_number,price,product,retail_price,warranty
Usually ships within 6 months,Store Display Model,https://sep.yimg.com/ay/movadobaby/rolex-oyster-perpetual-cosmograph-daytona-116598-108.jpg,116598-RBOW,"$225,000.00",Rolex Cosmograph Daytona 116598,,"6 Years (Included),Silver: + 3 Years $95 Sale(+75),Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 3 months,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-oyster-perpetual-116034-289.jpg,116034-BLKCAO,"$6,295.00",Rolex Oyster Perpetual 36 116034,"$6,650.00","6 Years (Included),Silver: + 3 Years $95 Sale(+50), Gold:Lifetime $295 Best Value(+150),Platinum:Lifetime w/Ultrasonic $395 Sale(+225)"
Usually ships within 3 months,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-oyster-perpetual-116034-309.jpg,116034-SLVCAO,"$6,295.00",Rolex Oyster Perpetual 36 116034,"$6,650.00","6 Years (Included),Silver: + 3 Years $95 Sale(+50), Gold:Lifetime $295 Best Value(+150),Platinum:Lifetime w/Ultrasonic $395 Sale(+225)"
Usually ships within 3 months,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-oyster-perpetual-116034-281.jpg,116034-BLUASO,"$6,295.00",Rolex Oyster Perpetual 36 116034,"$6,650.00","6 Years (Included),Silver: + 3 Years $95 Sale(+50), Gold:Lifetime $295 Best Value(+150),Platinum:Lifetime w/Ultrasonic $395 Sale(+225)"
Usually ships within 3 months,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-oyster-perpetual-116034-293.jpg,116034-BLKAPSO,"$6,295.00",Rolex Oyster Perpetual 36 116034,"$6,650.00","6 Years (Included),Silver: + 3 Years $95 Sale(+50), Gold:Lifetime $295 Best Value(+150),Platinum:Lifetime w/Ultrasonic $395 Sale(+225)"
Usually ships within 3 months,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-oyster-perpetual-116034-344.jpg,116034-PNKDRO,"$8,175.00",Rolex Oyster Perpetual 36 116034,"$8,600.00","6 Years (Included),Silver: + 3 Years $95 Sale(+50), Gold:Lifetime $295 Best Value(+150),Platinum:Lifetime w/Ultrasonic $395 Sale(+225)"
Usually ships within 4 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-oyster-perpetual-116034-285.jpg,116034-WHTDRO,"$8,175.00",Rolex Oyster Perpetual 36 116034,"$8,600.00","6 Years (Included),Silver: + 3 Years $95 Sale(+50), Gold:Lifetime $295 Best Value(+150),Platinum:Lifetime w/Ultrasonic $395 Sale(+225)"
Usually ships within 3 months,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-oyster-perpetual-116034-305.jpg,116034-SLVASO,"$6,295.00",Rolex Oyster Perpetual 36 116034,"$6,650.00","6 Years (Included),Silver: + 3 Years $95 Sale(+50), Gold:Lifetime $295 Best Value(+150),Platinum:Lifetime w/Ultrasonic $395 Sale(+225)"
Usually ships within 4 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-oyster-perpetual-yacht-master-168623-260.jpg,168623-PLT,"$10,775.00",Rolex Yacht-Master 35 168623,"$11,350.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 4 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-oyster-perpetual-yacht-master-168623-228.jpg,168623-DMOP,"$12,275.00",Rolex Yacht-Master 35 168623,"$12,900.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 4 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-yacht-master-168623-70.jpg,168623,"$10,775.00",Rolex Yacht-Master 35 168623,"$11,350.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 4 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-yacht-master-168623-66.jpg,168623-WHT,"$10,775.00",Rolex Yacht-Master 35 168623,"$11,350.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 8 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-oyster-perpetual-yacht-master-168628-37.jpg,168628-WHT,"$24,595.00",Rolex Yacht-Master 35 168628,"$25,900.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 4 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-oyster-perpetual-yacht-master-168623-220.jpg,168623-BLU,"$10,775.00",Rolex Yacht-Master 35 168623,"$11,350.00","6 Years (Included),Silver: + 3 Years $95 Sale(+50),Gold:Lifetime $295 Sale (+150),Platinum:Lifetime w/Ultrasonic $395 Sale(+225)"
Usually ships within 3 months,Store Display Model,https://sep.yimg.com/ay/movadobaby/rolex-yacht-master-16628-28.jpg,16628,"$25,995.00",Rolex Yacht-Master 40 16628,"$28,900.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75),Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
